트렌드ID,트렌드명,플랫폼,카테고리,포맷,사운드,대표 해시태그,7일 성장률,누적 조회수,단계,제작 난이도,예상 지속기간,수집일,주 시청층
TR-001,새벽 5시 모닝루틴,릴스,브이로그,트랜지션,잔잔한 피아노,#새벽5시모닝루틴,210%,50만,정점,하,2주,2026-07-12,10대
TR-002,냉동김밥 에어프라이어,쇼츠,푸드,ASMR,오리지널 사운드,#냉동김밥에어프라이어,210%,"2,500만",하락 시작,하,1주,2026-07-11,20대
TR-003,올리브영 세일 털기,틱톡,뷰티,리액션,오리지널 사운드,#올리브영세일털기,34%,"1,200만",성장중,상,2개월+,2026-07-13,30대
TR-004,직장인 점심 도시락,릴스,푸드,트랜지션,레트로 시티팝,#직장인점심도시락,140%,300만,성장중,상,2개월+,2026-07-15,20-30대
TR-005,무지출 챌린지 브이로그,쇼츠,브이로그,비포애프터,오리지널 사운드,#무지출챌린지브이로그,25%,120만,급상승,중,1주,2026-07-15,20-30대
TR-006,3초 헤어 트랜지션,틱톡,뷰티,트랜지션,잔잔한 피아노,#3초헤어트랜지션,140%,300만,하락 시작,상,1주,2026-07-16,10대
TR-007,강아지 앞구르기 챌린지,릴스,반려동물,리액션,레트로 시티팝,#강아지앞구르기챌린지,110%,300만,정점,상,2주,2026-07-11,10대
TR-008,퇴사 브이로그,쇼츠,브이로그,겟레디윗미,오리지널 사운드,#퇴사브이로그,210%,120만,성장중,하,2개월+,2026-07-14,30대
TR-009,편의점 신상 조합,틱톡,푸드,비포애프터,K-pop 리믹스,#편의점신상조합,210%,"4,000만",정점,중,2주,2026-07-14,10대
TR-010,한 달 살기 제주,릴스,여행,튜토리얼,밈 사운드,#한달살기제주,140%,"2,500만",성장중,하,2개월+,2026-07-16,20-30대
TR-011,등근육 루틴 30초,쇼츠,운동,ASMR,K-pop 리믹스,#등근육루틴30초,210%,"2,500만",정점,하,2주,2026-07-10,20-30대
TR-012,전공책으로 배우는 밈,틱톡,지식/정보,POV,K-pop 리믹스,#전공책으로배우는밈,72%,300만,정점,하,2개월+,2026-07-16,30대
TR-013,빈티지 코디 하울,릴스,패션,튜토리얼,K-pop 리믹스,#빈티지코디하울,25%,300만,정점,상,2개월+,2026-07-16,20-30대
TR-014,K-할머니 레시피,쇼츠,푸드,ASMR,바이럴 효과음,#K-할머니레시피,34%,120만,급상승,하,1주,2026-07-12,20대
TR-015,출근길 GRWM,틱톡,뷰티,리액션,오리지널 사운드,#출근길GRWM,210%,800만,하락 시작,중,2개월+,2026-07-18,20-30대
TR-016,월급 통장 쪼개기,릴스,지식/정보,트랜지션,잔잔한 피아노,#월급통장쪼개기,110%,"4,000만",급상승,상,1개월,2026-07-15,10대
TR-017,고양이 시점 POV,쇼츠,반려동물,튜토리얼,바이럴 효과음,#고양이시점POV,47%,800만,급상승,상,1개월,2026-07-18,20대
TR-018,자취방 인테리어 비포애프터,틱톡,브이로그,겟레디윗미,레트로 시티팝,#자취방인테리어비포애프터,110%,50만,성장중,하,1개월,2026-07-12,전연령
TR-019,역사 1분 요약,릴스,지식/정보,리액션,로파이 BGM,#역사1분요약,110%,50만,하락 시작,하,1주,2026-07-15,20-30대
TR-020,다이소 꿀템 리스트,쇼츠,패션,챌린지,밈 사운드,#다이소꿀템리스트,34%,50만,급상승,하,2개월+,2026-07-11,전연령
