프로젝트ID,캠페인명,인플루언서,산출물,현재 단계,업로드 마감일,계약 금액,상태,비고
PJ-001,펫프렌즈마트(반려용품) 7-8월 캠페인,살림왕 은지,쇼츠 2건+커뮤니티,정산 완료,2026-08-23,80만원,진행중,공동구매 연계
PJ-002,트립노트(여행앱) 7-8월 캠페인,홈카페 다인,쇼츠 2건+커뮤니티,계약 완료,2026-08-14,600만원,지연,위탁 링크 삽입
PJ-003,트립노트(여행앱) 7-8월 캠페인,홈카페 다인,릴스 2건,초안 제작,2026-08-25,80만원,완료,오프라인 행사 연계
PJ-004,글로우랩(뷰티) 7-8월 캠페인,홈카페 다인,틱톡 1건+스토리,성과 리포트,2026-08-06,250만원,완료,2차 활용권 포함
PJ-005,트립노트(여행앱) 7-8월 캠페인,댕댕이네 집사,틱톡 1건+스토리,업로드 완료,2026-08-18,250만원,진행중,오프라인 행사 연계
PJ-006,핏데이(헬스푸드) 7-8월 캠페인,테크리뷰 준호,쇼츠 2건+커뮤니티,초안 제작,2026-08-18,80만원,진행중,공동구매 연계
PJ-007,글로우랩(뷰티) 7-8월 캠페인,뷰티로그 하은,틱톡 1건+스토리,정산 완료,2026-08-08,400만원,완료,2차 활용권 포함
PJ-008,트립노트(여행앱) 7-8월 캠페인,홈카페 다인,틱톡 1건+스토리,브랜드 피드백,2026-08-14,600만원,지연,위탁 링크 삽입
PJ-009,트립노트(여행앱) 7-8월 캠페인,댕댕이네 집사,릴스 2건,정산 완료,2026-08-04,250만원,진행중,위탁 링크 삽입
PJ-010,핏데이(헬스푸드) 7-8월 캠페인,여행자 소라,릴스 2건,협상,2026-08-24,600만원,완료,위탁 링크 삽입
PJ-011,핏데이(헬스푸드) 7-8월 캠페인,댕댕이네 집사,릴스 2건,브랜드 피드백,2026-08-12,80만원,진행중,위탁 링크 삽입
PJ-012,핏데이(헬스푸드) 7-8월 캠페인,댕댕이네 집사,쇼츠 1건,컨택,2026-08-02,600만원,지연,2차 활용권 포함
