거래ID,거래일,구분,품목,거래처,국가,통화,외화 금액,원화 환산,관세/부가세,배송 상태,통관 상태,정산 상태,메모
TX-001,2026-07-28,수입,빈티지 의류 사입,아마존 FBA,일본,JPY,"24,000","220,799","17,663",반품 처리중,면세 통과,정산 대기,
TX-002,2026-06-27,수출,굿즈 키링,아마존 FBA,일본,JPY,"24,000","220,799",-,입고 완료,통관 완료,정산 대기,
TX-003,2026-05-24,수입,한정판 스니커즈 사입,eBay 구매자,미국,USD,520,"722,800","57,824",반품 처리중,면세 통과,부분 정산,
TX-004,2026-07-05,수출,굿즈 키링,알리바바 셀러 A,일본,JPY,"1,800","16,560",-,통관 대기,통관 진행중,정산 대기,
TX-005,2026-06-26,수입,촬영용 링라이트,알리바바 셀러 A,중국,CNY,520,"101,400",-,통관 대기,통관 진행중,부분 정산,
TX-006,2026-06-25,수출,폰케이스,타오바오 셀러 C,일본,JPY,"1,800","16,560",-,반품 처리중,통관 진행중,정산 완료,
TX-007,2026-05-06,수입,빈티지 의류 사입,쇼피파이 자사몰,일본,JPY,"7,600","69,920",-,발송 완료,통관 진행중,정산 대기,
TX-008,2026-06-28,수출,폰케이스,알리바바 셀러 A,일본,JPY,"1,800","16,560",-,발송 완료,통관 진행중,정산 완료,HS코드 확인 필요
TX-009,2026-05-08,수입,무선 핀마이크,알리바바 셀러 A,중국,CNY,520,"101,400",-,배송중,면세 통과,정산 대기,인보이스 첨부
TX-010,2026-06-12,수출,굿즈 키링,타오바오 셀러 C,일본,JPY,"48,000","441,599",-,반품 처리중,관세 납부 대기,정산 완료,
TX-011,2026-07-09,수입,무선 핀마이크,알리바바 셀러 A,중국,CNY,350,"68,250",-,입고 완료,면세 통과,정산 대기,인보이스 첨부
TX-012,2026-07-04,수출,의류 굿즈 후드,타오바오 셀러 C,미국,USD,"1,200","1,668,000",-,반품 처리중,통관 진행중,정산 대기,
