채널ID,채널명,추천 트렌드,추천 이유,첫 3초 훅 아이디어
CH-01,요리하는 재윤,냉동김밥 에어프라이어,"구독자층(자취생)과 트렌드 시청층이 일치, 기존 레시피 포맷 그대로 활용 가능","""냉동김밥, 에어프라이어에 넣으면 생기는 일"" 3초 컷 오프닝"
CH-01,요리하는 재윤,편의점 신상 조합,재료 접근성이 높아 주 3회 업로드 주기에 부담 없음,"편의점 3,000원 조합 vs 만원 조합 비교"
CH-01,요리하는 재윤,K-할머니 레시피,차분한 설명형 톤과 스토리텔링 포맷의 궁합,할머니 손글씨 레시피 클로즈업으로 시작
CH-02,뷰티로그 하은,올리브영 세일 털기,"저가 화장품 리뷰 채널 정체성과 정확히 일치, 세일 기간 타이밍",영수증 먼저 보여주고 시작하는 역순 구성
CH-02,뷰티로그 하은,출근길 GRWM,"발랄한 톤에 맞는 스피드 편집형, 릴스 평균 시청완료율 상승 중",지각 5분 전 타이머 자막 연출
CH-02,뷰티로그 하은,3초 헤어 트랜지션,낮은 제작 난이도로 주 5회 업로드에 삽입 용이,비포 프레임에서 손가락 스냅으로 전환
CH-03,운동하는 직장인 민수,등근육 루틴 30초,"동기부여형 톤과 튜토리얼 포맷 궁합, 성장률 최상위","""직장인은 등부터 무너집니다"" 훅 멘트"
CH-03,운동하는 직장인 민수,헬스장 민폐 유형,코미디 크로스오버로 신규 시청층 유입 기대,본인 채널 톤 유지하며 상황극 1개만 삽입
CH-03,운동하는 직장인 민수,스트레칭 10초 루틴,매일 업로드 채널에 맞는 초저난이도 포맷,사무실 의자에서 그대로 따라하는 구도
CH-04,여행자 소라,한 달 살기 제주,"감성 시네마틱 톤과 일치, 시리즈화로 구독 전환 유도",1일차와 30일차 같은 장소 비교 컷
CH-04,여행자 소라,기차 여행 브이로그,"국내 소도시 콘셉트 연장선, 제작비 부담 낮음",차창 밖 풍경 타임랩스 + 손글씨 자막
CH-04,여행자 소라,캠핑 장비 언박싱,여행 카테고리 내 커머스 확장 실험용,장비 3개만 들고 떠나는 미니멀 캠핑 콘셉트
CH-05,댕댕이네 집사,강아지 앞구르기 챌린지,"반려동물 챌린지 중 성장률 1위, 유머형 톤 일치","실패 컷 모음 먼저, 성공 컷은 마지막 1초"
CH-05,댕댕이네 집사,고양이 시점 POV,POV 포맷을 강아지 버전으로 변형해 선점 가능,간식 서랍 열리는 순간의 강아지 시점
CH-05,댕댕이네 집사,반려견 훈련 전후,비포애프터 포맷으로 저장/공유 수 확보에 유리,훈련 1일차 vs 30일차 분할 화면
