태스크ID,프로젝트ID,인플루언서,태스크,마감일,상태,담당자
TK-001,PJ-001,살림왕 은지,초안 전달,2026-08-13,완료,매니저 이도현
TK-002,PJ-001,살림왕 은지,피드백 반영,2026-08-17,대기,매니저 김수정
TK-003,PJ-001,살림왕 은지,최종 업로드,2026-08-23,완료,매니저 이도현
TK-004,PJ-001,살림왕 은지,결과 리포트,2026-08-28,진행중,매니저 이도현
TK-005,PJ-002,홈카페 다인,초안 전달,2026-08-04,진행중,매니저 이도현
TK-006,PJ-002,홈카페 다인,피드백 반영,2026-08-08,대기,매니저 김수정
TK-007,PJ-002,홈카페 다인,최종 업로드,2026-08-14,진행중,매니저 이도현
TK-008,PJ-002,홈카페 다인,결과 리포트,2026-08-21,대기,매니저 김수정
TK-009,PJ-003,홈카페 다인,초안 전달,2026-08-15,진행중,매니저 이도현
TK-010,PJ-003,홈카페 다인,피드백 반영,2026-08-19,대기,매니저 김수정
TK-011,PJ-003,홈카페 다인,최종 업로드,2026-08-25,대기,매니저 김수정
TK-012,PJ-003,홈카페 다인,결과 리포트,2026-08-28,완료,매니저 이도현
TK-013,PJ-004,홈카페 다인,초안 전달,2026-08-01,대기,매니저 김수정
TK-014,PJ-004,홈카페 다인,피드백 반영,2026-08-01,대기,매니저 이도현
TK-015,PJ-004,홈카페 다인,최종 업로드,2026-08-06,완료,매니저 김수정
TK-016,PJ-004,홈카페 다인,결과 리포트,2026-08-13,완료,매니저 이도현
TK-017,PJ-005,댕댕이네 집사,초안 전달,2026-08-08,진행중,매니저 이도현
TK-018,PJ-005,댕댕이네 집사,피드백 반영,2026-08-12,진행중,매니저 이도현
TK-019,PJ-005,댕댕이네 집사,최종 업로드,2026-08-18,진행중,매니저 김수정
TK-020,PJ-005,댕댕이네 집사,결과 리포트,2026-08-25,완료,매니저 김수정
TK-021,PJ-006,테크리뷰 준호,초안 전달,2026-08-08,대기,매니저 김수정
TK-022,PJ-006,테크리뷰 준호,피드백 반영,2026-08-12,진행중,매니저 김수정
TK-023,PJ-006,테크리뷰 준호,최종 업로드,2026-08-18,대기,매니저 김수정
TK-024,PJ-006,테크리뷰 준호,결과 리포트,2026-08-25,대기,매니저 김수정
